Titolo,Piattaforma,Genere,Data di uscita,Produttore,Sviluppatore,Età consigliata,Link
Dead Space 2,PC,Azione/Avventura,28 gennaio 2011,Electronic Arts,Visceral Games,18+,
Pathologic,PC,Avventura,27 ottobre 2006,Buka Entertainment,Ice-Pick Lodge,16+,
Amnesia: A Machine for Pigs,PC,Azione/Avventura,4 settembre 2013,,Frictional Games,,
Rise of Nations,PC,Strategia,23 maggio 2003,Microsoft Game Studios,Big Huge Games,,
Fable (2004),Xbox,Gioco di ruolo,8 ottobre 2004,Microsoft Game Studios,Big Blue Box,,
Asterix & Obelix XXL 2: Mission - Wifix,Wifix,Platform,2006,Atari SA,Mistic Software,7+,
The Henry Stickmin Collection,PC,Avventura,7 agosto 2020,Innersloth,PuffballsUnited,,https://store.steampowered.com/app/1089980/The_Henry_Stickmin_Collection/
Slender: The Arrival,PC,Avventura,27 marzo 2013,Blue Isle Studios,Parsec Productions,,http://slenderarrival.com/
In Verbis Virtus,PC,Azione/Avventura,dicembre 2013,,Indomitus Games,,
Evoland,PC,Avventura,4 aprile 2013,,Shiro Games,,
Disney's PK: Out of the Shadows,GameCube,Platform,29 novembre 2002,,Ubisoft,,
Big Brain Academy,DS,Party Game,7 luglio 2006,Nintendo,Nintendo,3+,
BioShock,PC,Sparatutto in 1a persona,24 agosto 2007,2K Marin Studio,2K Games,18+,https://store.steampowered.com/app/7670/BioShock/
The Elder Scrolls V: Skyrim,PC,Gioco di ruolo,11 novembre 2011,Bethesda Softworks,Bethesda Softworks,18+,
Resident Evil,PC,Azione/Avventura,1997,Virgin Interactive,Capcom,,
Metal Gear Solid,PC,Azione/Avventura,24 settembre 2000,Konami,Digital Dialect,,
Il Professor Layton e il Paese dei Misteri,DS,Avventura,5 novembre 2008,Nintendo,Level-5,7+,
Phoenix Wright: Ace Attorney Trilogy,PC,Avventura,9 aprile 2019,Capcom,Capcom,12+,https://store.steampowered.com/app/787480/Phoenix_Wright_Ace_Attorney_Trilogy__123/
Fortress Forever,PC,Sparatutto in 1a persona,13 settembre 2007,Fortress Forever,"Fortress Forever Development Team, Trepid Studios",,https://store.steampowered.com/app/253530/Fortress_Forever/
Atomas,Android,Puzzle,18 agosto 2016,,Sirnic,,
Plague Inc.,Android,Gestionale,4 ottobre 2012,,Ndemic Creations,,
Rebel Inc.,Android,Strategia,8 febbraio 2019,,Ndemic Creations,,
Cooking Mama,DS,Party Game,8 dicembre 2006,Majesco Games,Taito Corporation,,
RuneScape,PC,MMORPG,29 marzo 2001,,Jagex Ltd.,,
Travian,PC,Strategia,5 settembre 2004,,Travian Games GmbH,,
Forge of Empires,PC,Strategia,3 maggio 2012,,,,
Eyes - the horror game,the horror game,Avventura,2 aprile 2013,,Gameverse Paulina Pabis,,
Bugs Bunny: Lost in Time,PC,Platform,11 ottobre 2002,Infogrames,Artificial Mind and Movement,,
Antichamber,PC,Puzzle,31 gennaio 2013,,Demruth,,
Sumotori Dreams,iOS,Gioco d'azione,18 marzo 2014,gravitysensation.com,Peter Soltesz,,
Prince of Persia,Amiga,Platform,1990,,Broderbund,,
Penumbra Collection,PC,,31 marzo 2009,SouthPeak Games,Frictional Games,16+,
Bugs Bunny & Taz: Time Busters,PSX,Gioco d'azione,24 novembre 2000,Infogrames,Artificial Mind and Movement,,
Condemned: Criminal Origins,PC,Azione/Avventura,13 aprile 2006,Sega,Monolith Productions,,
Q.U.B.E.,PC,Puzzle,6 gennaio 2012,Toxic Games,Toxic Games,,
Slender,PC,Avventura,26 giugno 2012,,Parsec Productions,,http://slendergame.com/
Taz Wanted,PC,Platform,1 ottobre 2002,Atari,Blitz Games,,
Party of Sin,PC,Platform,13 dicembre 2012,,Crankshaft Games,,
Amnesia: The Dark Descent,PC,Azione/Avventura,8 settembre 2010,Frictional Games,Frictional Games,,https://store.steampowered.com/app/57300/Amnesia_The_Dark_Descent/
Zork I,Amiga,Avventura,1986,,Infocom,,
Spyro Reignited Trilogy,PC,Party Game,3 settembre 2019,Activision,"Toys for Bob, Iron Galaxy",,https://store.steampowered.com/app/996580/Spyro_Reignited_Trilogy/
Super Meat Boy,PC,Platform,30 novembre 2010,Team Meat,Team Meat,,http://store.steampowered.com/app/40800/Super_Meat_Boy/
Team Fortress Classic,PC,Sparatutto in 1a persona,1999,Sierra Entertainment,Valve Software,,
Half-Life 2,PC,Sparatutto in 1a persona,16 novembre 2004,Vivendi Universal,Valve Software,18+,https://store.steampowered.com/app/220/HalfLife_2/
Half-Life,PC,Sparatutto in 1a persona,8 novembre 1998,Valve,Valve Software,,http://store.steampowered.com/app/70/HalfLife/
Portal 2,PC,Puzzle,18 aprile 2011,Valve,Valve Software,12+,http://store.steampowered.com/app/620/Portal_2/
Europa Universalis,PC,Strategia a turni,2 febbraio 2001,Strategy First Inc.,Paradox Interactive,,
Assassin's Creed,PC,Azione/Avventura,11 aprile 2008,Ubisoft,Ubisoft Montreal,16+,
Mirror's Edge,PC,Azione/Avventura,16 gennaio 2009,Electronic Arts,Digital Illusions CE (DICE),16+,
Alan Wake,PC,Azione/Avventura,16 febbraio 2012,Microsoft Game Studios,Remedy Entertainment Ltd.,16+,
Game Dev Tycoon,PC,Gestionale,29 agosto 2013,,Greenheart Games,12+,http://store.steampowered.com/app/239820/Game_Dev_Tycoon/
"Papers, Please",PC,Avventura,8 agosto 2013,,Lucas Pope,,http://store.steampowered.com/app/239030/Papers_Please/
Bud Spencer & Terence Hill - Slaps And Beans,Slaps And Beans,Picchiaduro,15 dicembre 2017,,Trinity Team,16+,http://store.steampowered.com/app/564050/Bud_Spencer__Terence_Hill__Slaps_And_Beans/?snr=1_7_7_151_150_1
